Jun 06 09:21::20 Opponent MOVE_OP A2 1686014480927
Jun 06 09:21::22 sender MOVE_OP C1 1686014482672
Jun 06 09:21::21 Opponent MOVE_OP B1 1686014481802
Jun 06 09:21::23 sender MOVE_OP E4 1686014483462
Jun 06 09:21::22 Opponent MOVE_OP C1 1686014482672
Jun 06 09:21::24 sender MOVE_OP D3 1686014484228
Jun 06 09:21::23 Opponent MOVE_OP E4 1686014483462
Jun 06 09:21::24 sender MOVE_OP I2 1686014484940
Jun 06 09:21::24 Opponent MOVE_OP D3 1686014484228
Jun 06 09:21::25 sender MOVE_OP I1 1686014485640
Jun 06 09:21::24 Opponent MOVE_OP I2 1686014484940
Jun 06 09:21::26 sender MOVE_OP H2 1686014486244
Jun 06 09:21::25 Opponent MOVE_OP I1 1686014485640
Jun 06 09:21::26 sender MOVE_OP D1 1686014486832
Jun 06 09:21::26 Opponent MOVE_OP H2 1686014486244
Jun 06 09:21::27 sender MOVE_OP E6 1686014487357
Jun 06 09:21::26 Opponent MOVE_OP D1 1686014486832
Jun 06 09:21::27 sender MOVE_OP A9 1686014487875
Jun 06 09:21::27 Opponent MOVE_OP E6 1686014487357
Jun 06 09:21::28 sender MOVE_OP H5 1686014488349
Jun 06 09:21::27 Opponent MOVE_OP A9 1686014487875
Jun 06 09:21::28 sender MOVE_OP D6 1686014488809
Jun 06 09:21::28 Opponent MOVE_OP H5 1686014488349
Jun 06 09:21::29 sender MOVE_OP C4 1686014489229
Jun 06 09:21::28 Opponent MOVE_OP D6 1686014488809
Jun 06 09:21::29 sender MOVE_OP G3 1686014489635
Jun 06 09:21::29 Opponent MOVE_OP C4 1686014489229
Jun 06 09:21::30 sender MOVE_OP F3 1686014490001
Jun 06 09:21::29 Opponent MOVE_OP G3 1686014489635
Jun 06 09:21::30 sender MOVE_OP G5 1686014490354
Jun 06 09:21::30 Opponent MOVE_OP F3 1686014490001
Jun 06 09:21::30 sender MOVE_OP H3 1686014490659
Jun 06 09:21::30 Opponent MOVE_OP G5 1686014490354
Jun 06 09:21::30 sender MOVE_OP H4 1686014490960
Jun 06 09:21::30 Opponent MOVE_OP H3 1686014490659
Jun 06 09:21::31 sender MOVE_OP C7 1686014491225
Jun 06 09:21::30 Opponent MOVE_OP H4 1686014490960
Jun 06 09:21::31 sender MOVE_OP C8 1686014491484
Jun 06 09:21::31 Opponent MOVE_OP C7 1686014491225
Jun 06 09:21::31 sender MOVE_OP A4 1686014491703
Jun 06 09:21::31 Opponent MOVE_OP C8 1686014491484
Jun 06 09:21::31 sender MOVE_OP H8 1686014491915
Jun 06 09:21::31 Opponent MOVE_OP A4 1686014491703
Jun 06 09:21::32 sender MOVE_OP H9 1686014492098
Jun 06 09:21::31 Opponent MOVE_OP H8 1686014491915
Jun 06 09:21::32 sender MOVE_OP I4 1686014492266
Jun 06 09:21::32 Opponent MOVE_OP H9 1686014492098
Jun 06 09:21::32 sender MOVE_OP B3 1686014492411
Jun 06 09:21::32 Opponent MOVE_OP I4 1686014492266
Jun 06 09:21::32 sender MOVE_OP G2 1686014492544
Jun 06 09:21::32 Opponent MOVE_OP B3 1686014492411
Jun 06 09:21::32 sender MOVE_OP D5 1686014492650
Jun 06 09:21::32 Opponent MOVE_OP G2 1686014492544
Jun 06 09:21::32 sender MOVE_OP C6 1686014492751
Jun 06 09:21::32 Opponent MOVE_OP D5 1686014492650
Jun 06 09:21::32 sender MOVE_OP I8 1686014492820
Jun 06 09:21::32 Opponent MOVE_OP C6 1686014492751
Jun 06 09:21::32 sender MOVE_OP D9 1686014492884
Jun 06 09:21::32 Opponent MOVE_OP I8 1686014492820
Jun 06 09:21::32 sender MOVE_OP H7 1686014492934
Jun 06 09:21::32 Opponent MOVE_OP D9 1686014492884
Jun 06 09:21::32 sender MOVE_OP I5 1686014492973
Jun 06 09:21::32 Opponent MOVE_OP H7 1686014492934
Jun 06 09:21::32 sender MOVE_OP A7 1686014492997
Jun 06 09:21::32 Opponent MOVE_OP I5 1686014492973
Jun 06 09:21::33 sender MOVE_OP E8 1686014493017
Jun 06 09:21::33 Opponent MOVE_OP A7 1686014492997
Jun 06 09:21::33 sender MOVE_OP I9 1686014493027
Jun 06 09:21::33 Opponent MOVE_OP E8 1686014493017
Jun 06 09:21::33 sender MOVE_OP F5 1686014493039
Jun 06 09:21::33 Opponent MOVE_OP I9 1686014493027
Jun 06 09:21::33 sender MOVE_OP D4 1686014493049
Jun 06 09:21::33 Opponent MOVE_OP F5 1686014493039
Jun 06 09:21::33 sender MOVE_OP C2 1686014493060
Jun 06 09:21::33 Opponent MOVE_OP D4 1686014493049
Jun 06 09:21::33 sender MOVE_OP H6 1686014493069
Jun 06 09:21::33 Opponent MOVE_OP C2 1686014493060
Jun 06 09:21::33 sender MOVE_OP B8 1686014493075
Jun 06 09:21::33 Opponent MOVE_OP H6 1686014493069
Jun 06 09:21::33 Opponent MOVE_OP B8 1686014493075
